#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,hltpath,delivered(/fb),recorded(/fb),avgpu,source
306929:6404,7:7,11/21/17 17:39:08,HLT_HIEle20_WPLoose_Gsf_v1,0.000000004,0.000000003,3.0,PLTZERO
306929:6404,8:8,11/21/17 17:39:31,HLT_HIEle20_WPLoose_Gsf_v1,0.000000004,0.000000003,2.6,PLTZERO
306929:6404,9:9,11/21/17 17:39:54,HLT_HIEle20_WPLoose_Gsf_v1,0.000000003,0.000000002,2.3,PLTZERO
306929:6404,10:10,11/21/17 17:40:18,HLT_HIEle20_WPLoose_Gsf_v1,0.000000003,0.000000002,2.3,PLTZERO
306929:6404,11:11,11/21/17 17:40:41,HLT_HIEle20_WPLoose_Gsf_v1,0.000000003,0.000000002,2.4,PLTZERO
306929:6404,12:12,11/21/17 17:41:04,HLT_HIEle20_WPLoose_Gsf_v1,0.000000003,0.000000002,2.5,PLTZERO
306929:6404,13:13,11/21/17 17:41:28,HLT_HIEle20_WPLoose_Gsf_v1,0.000000004,0.000000003,2.6,PLTZERO
306929:6404,14:14,11/21/17 17:41:51,HLT_HIEle20_WPLoose_Gsf_v1,0.000000004,0.000000003,2.6,PLTZERO
306929:6404,15:15,11/21/17 17:42:14,HLT_HIEle20_WPLoose_Gsf_v1,0.000005620,0.000005526,2.7,PLTZERO
306929:6404,16:16,11/21/17 17:42:38,HLT_HIEle20_WPLoose_Gsf_v1,0.000005904,0.000005805,2.8,PLTZERO
306929:6404,17:17,11/21/17 17:43:01,HLT_HIEle20_WPLoose_Gsf_v1,0.000006034,0.000005932,2.9,PLTZERO
306929:6404,18:18,11/21/17 17:43:24,HLT_HIEle20_WPLoose_Gsf_v1,0.000005874,0.000005775,2.8,PLTZERO
306929:6404,19:19,11/21/17 17:43:47,HLT_HIEle20_WPLoose_Gsf_v1,0.000005886,0.000005786,2.8,PLTZERO
306929:6404,20:20,11/21/17 17:44:11,HLT_HIEle20_WPLoose_Gsf_v1,0.000005997,0.000005894,2.8,PLTZERO
306929:6404,21:21,11/21/17 17:44:34,HLT_HIEle20_WPLoose_Gsf_v1,0.000005841,0.000005735,2.8,PLTZERO
306929:6404,22:22,11/21/17 17:44:57,HLT_HIEle20_WPLoose_Gsf_v1,0.000005929,0.000005824,2.8,PLTZERO
306929:6404,23:23,11/21/17 17:45:21,HLT_HIEle20_WPLoose_Gsf_v1,0.000005903,0.000005800,2.8,PLTZERO
306929:6404,24:24,11/21/17 17:45:44,HLT_HIEle20_WPLoose_Gsf_v1,0.000005852,0.000005750,2.8,PLTZERO
306929:6404,25:25,11/21/17 17:46:07,HLT_HIEle20_WPLoose_Gsf_v1,0.000005995,0.000005890,2.8,PLTZERO
306929:6404,26:26,11/21/17 17:46:31,HLT_HIEle20_WPLoose_Gsf_v1,0.000005940,0.000005836,2.8,PLTZERO
306929:6404,27:27,11/21/17 17:46:54,HLT_HIEle20_WPLoose_Gsf_v1,0.000005897,0.000005793,2.8,PLTZERO
306929:6404,28:28,11/21/17 17:47:17,HLT_HIEle20_WPLoose_Gsf_v1,0.000006072,0.000005964,2.9,PLTZERO
306929:6404,29:29,11/21/17 17:47:41,HLT_HIEle20_WPLoose_Gsf_v1,0.000006014,0.000005898,2.8,PLTZERO
306929:6404,30:30,11/21/17 17:48:04,HLT_HIEle20_WPLoose_Gsf_v1,0.000005799,0.000005699,2.7,PLTZERO
306929:6404,31:31,11/21/17 17:48:27,HLT_HIEle20_WPLoose_Gsf_v1,0.000005841,0.000005739,2.8,PLTZERO
306929:6404,32:32,11/21/17 17:48:51,HLT_HIEle20_WPLoose_Gsf_v1,0.000005876,0.000005773,2.8,PLTZERO
306929:6404,33:33,11/21/17 17:49:14,HLT_HIEle20_WPLoose_Gsf_v1,0.000005845,0.000005743,2.8,PLTZERO
306929:6404,34:34,11/21/17 17:49:37,HLT_HIEle20_WPLoose_Gsf_v1,0.000005942,0.000005836,2.8,PLTZERO
306929:6404,35:35,11/21/17 17:50:00,HLT_HIEle20_WPLoose_Gsf_v1,0.000005908,0.000005805,2.8,PLTZERO
306929:6404,36:36,11/21/17 17:50:24,HLT_HIEle20_WPLoose_Gsf_v1,0.000005803,0.000005695,2.8,PLTZERO
306929:6404,37:37,11/21/17 17:50:47,HLT_HIEle20_WPLoose_Gsf_v1,0.000005864,0.000005753,2.8,PLTZERO
